,period,short_descriptions,temperatures
0,Tonight,Mostly Cloudythen PatchyFog,Low: 65 °F
1,Tuesday,ChanceShowers andPatchy Fog,High: 71 °F
2,TuesdayNight,ShowersLikely andPatchy Fogthen HeavyRain,Low: 70 °F
3,Wednesday,Heavy Rainand Breezythen ShowersLikely,High: 70 °F
4,WednesdayNight,ChanceShowers,Low: 59 °F
5,Thursday,Sunny,High: 68 °F
6,ThursdayNight,Mostly Clear,Low: 55 °F
7,Friday,Mostly Sunnythen ChanceShowers,High: 66 °F
8,FridayNight,ChanceShowers thenPartly Cloudy,Low: 52 °F
